college_code,college_name,avg_percentile,avg_rank,percentile_std,rank_std,data_points,stability_score,cluster
5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",58.934940665384616,115131.73076923077,17.43883867640849,36747.18968907167,26,0.054233350459291486,6
5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",44.636005403703706,143469.33333333334,18.15517724689346,32181.478734490458,27,0.05220520734999608,6
5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",65.1667725826087,97316.07246376811,22.955376843268034,46080.834950283395,69,0.04174428173443746,0
5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",64.91315993283582,96574.5671641791,24.58427570332305,50990.50664799189,67,0.03908650811913012,3
5152,"G H Raisoni College of Engineering and Management, Jalgaon",56.81691175275591,118886.33858267717,18.928728257048846,37771.57731622922,127,0.050178816585865045,6
5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",74.54697457728707,74499.16088328075,19.998517893924152,45028.33099623296,317,0.04762240864100921,5
5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",56.86534546111111,116866.88888888889,22.292688239460485,43671.752025406,54,0.04293192738079434,6
5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",71.2451664,83169.39770114943,20.483007651889725,44449.250901822576,435,0.04654841706543061,5
5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",38.60527131111111,150676.0,26.013696759062977,39370.29236937415,9,0.03701825814212208,7
5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",41.84912078,148502.8,18.955930576086548,32639.792366067526,5,0.0501104168601545,6
5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",32.03789705714286,163202.0,20.17366180939251,31529.084307984587,21,0.04722848645652808,7
5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",26.773615423076926,170842.0,20.828167520633666,31528.992313020564,52,0.04581236601994752,7
5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",40.81612257419355,150128.87096774194,18.122249034147732,30698.28145541911,31,0.0522951038977811,6
5172,"R. C. Patel Institute of Technology, Shirpur",75.09446955982142,74677.02678571429,16.070196245194452,35657.52557983733,112,0.05858163465938576,0
5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",64.19391106515151,100207.01515151515,22.705401304458523,42048.05941282406,66,0.042184478851742514,0
5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",52.15419307142857,129150.5387755102,18.253534294229173,32514.721152790014,490,0.051938516052075084,5
5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",42.529561112903224,147091.4193548387,18.43037368349139,31295.3443393467,31,0.05146581410575902,6
5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",54.56190209230769,122758.78846153847,20.562644617412058,40806.48935913403,52,0.0463765005519077,6
5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",52.079711822916664,130310.08333333333,16.27509257506061,29781.049361956524,48,0.057886809905937156,6
5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",80.21870265000001,64182.0,9.540956372500352,28866.927235159616,2,0.09486805225841159,4
5223,"SMT. SHARCHCHANDRIKA SURESH PATIL INSTITUTE OF TECHNOLOGY (ENGINEERING & POLYTECHNIC), CHOPDA",34.1014404,159141.0,22.810479593348234,39950.05910195878,9,0.04199831406501207,7
5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",40.04557323846154,145000.61538461538,29.856859716863866,53164.05313357648,13,0.03240770477539815,3
5249,"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon",15.156525516666667,188741.66666666666,10.560316115840868,11719.338371540718,6,0.08650282483449741,1
5256,Matoshri Aasarabai Institute of Technology and Research Centre,38.787216425,154049.375,17.104872814564235,30755.12735761849,16,0.05523374896042146,1
5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",56.55761865833333,123023.5,11.258454516461205,22471.98880424654,12,0.0815763519501708,6
5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",51.101693624,128229.56,23.518354285650442,45778.773269824516,25,0.04078577168555141,7
5330,"PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",67.74494438450704,92279.1690140845,20.555261932061587,44669.12254278626,71,0.046392384520857366,0
5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",55.978877218032785,118785.37704918033,22.353337108989795,42690.50978658837,61,0.04282043270017513,6
5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule",37.032895728571425,153284.14285714287,26.146346746529257,42043.81620178553,7,0.03683736929087348,7
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",15.578731350000002,187500.0,15.625188223283578,17920.91426239186,2,0.06014969494297212,1
5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",35.678968388095235,158512.19047619047,18.59353079724516,30798.36842545642,42,0.05103725358885289,1
5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",31.60886572,166038.8,15.39153951458174,21411.717705868195,20,0.06100708228842145,1
5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",48.06503246041667,133033.70833333334,25.50502667791258,44562.91293095463,48,0.037728692453395246,7
